participant,window_start,window_end,motor_left_theta,motor_left_alpha,motor_left_beta,motor_left_alpha_beta_ratio,motor_left_beta_theta_ratio,motor_left_total_power,temporal_left_theta,temporal_left_alpha,temporal_left_beta,temporal_left_alpha_beta_ratio,temporal_left_beta_theta_ratio,temporal_left_total_power,motor_right_theta,motor_right_alpha,motor_right_beta,motor_right_alpha_beta_ratio,motor_right_beta_theta_ratio,motor_right_total_power,temporal_right_theta,temporal_right_alpha,temporal_right_beta,temporal_right_alpha_beta_ratio,temporal_right_beta_theta_ratio,temporal_right_total_power
1,0.0,2.0,0.3338841478100869,0.3291708620083627,0.33694499018154167,0.9769276042092248,1.0091673785398974,11601.328945325466,0.405172176502053,0.2572708468565551,0.33755697664138956,0.7621553238695767,0.8331198345246624,44724.03355795952,0.5275524594947788,0.26749872257082347,0.20494881793439418,1.3051976843137845,0.3884899297610443,27495.712386004874,0.5457286949436649,0.2539921388134894,0.20027916624284053,1.2681905141621899,0.3669940175374381,18741.51496298786
1,0.496,2.496,0.4274231790774181,0.25849810890885355,0.3140787120137208,0.8230360703260736,0.7348190912145803,13221.676166106046,0.41343028900745993,0.21799337219898615,0.3685763387935517,0.5914470063719639,0.8915078275430838,46411.04675211134,0.5950443464703098,0.2128553618679524,0.19210029166173462,1.1080428875285697,0.3228335716509805,31472.539691099326,0.5686340200156029,0.2550941568338521,0.17627182315054,1.4471635470405775,0.30999169403494653,19946.91745902861
1,0.992,2.992,0.4617220258266802,0.23772042872448118,0.30055754544882957,0.7909314948971939,0.6509491179475291,11116.54089286836,0.3660342844504131,0.2751620800222216,0.35880363552736266,0.7668876588103455,0.9802459790510893,38658.1664503999,0.6474215832545845,0.17303176573755283,0.17954665100785855,0.9637148048502192,0.2773257111776803,23967.85073247827,0.6656353372693823,0.21117363420803995,0.1231910285225736,1.7141965347690642,0.1850728493891806,23432.195459958242
1,1.488,3.488,0.4850269716428767,0.2068923697241812,0.30808065863293266,0.6715526078210574,0.6351825293125455,10645.50415173314,0.27157836595103674,0.33969247455257984,0.3887291594963803,0.8738538549376315,1.4313701245498354,34692.995308929865,0.6678378441430588,0.183731187421179,0.14843096843575793,1.2378224662779445,0.22225600082040467,22932.850533521192,0.5614848210867617,0.2677638894353098,0.17075128947792154,1.5681514924660143,0.3041066883115878,14640.195038682066
1,1.984,3.984,0.5928568024853651,0.0957489895182745,0.31139420799635226,0.30748481204696526,0.5252435439568645,12264.081633830732,0.3189869468012671,0.31418866229558307,0.36682439090314667,0.8565097362310785,1.1499667763260515,29999.894372554816,0.5180160036183374,0.27964647287511374,0.2023375235065422,1.382079151848781,0.3906009121208876,15166.156776141594,0.6134527033877069,0.24341628290424827,0.14313101370803855,1.700653664067264,0.23332037322130306,15859.06115419943
1,2.48,4.48,0.5258962908860474,0.16759302092588163,0.3065106881880628,0.5467770860344312,0.5828348545140691,12101.421330927751,0.3280319392780591,0.23402113255938975,0.4379469281625477,0.5343595707846339,1.3350740453090866,28521.990446737847,0.5728777353990112,0.218914826857322,0.20820743774366146,1.0514265447463869,0.3634413154469031,18886.43661485602,0.6460639358965087,0.19041759513445375,0.1635184689690312,1.164502067167163,0.2530995152083883,15889.715970098974
1,2.976,4.976,0.5199262247435543,0.1885349924581503,0.29153878279828715,0.6466892351285918,0.5607310593768945,12133.061995093061,0.44860945720590617,0.18103374387411864,0.37035679891997164,0.4888090198480073,0.8255661867377428,27284.328956185953,0.5515538564610598,0.2708719837663255,0.17757415977260999,1.525402029851525,0.3219525304599976,21201.094000737157,0.6048105341300806,0.22428117408364273,0.17090829178627032,1.3122896012799057,0.28258153941067127,15813.41036913352
1,3.472,5.472,0.5081729740348278,0.19532128439393773,0.2965057415712242,0.6587436835418327,0.5834740466754873,9710.487055301059,0.417049406218195,0.24455221673282176,0.33839837704897924,0.7226755011813272,0.811410763337546,24324.118156357643,0.4745087062053742,0.31393002365482486,0.21156127013979528,1.4838728442468607,0.44585329494086456,17723.847050720036,0.6182180070129576,0.17764870427137278,0.20413328871566314,0.870258375736128,0.3301962841586762,15284.218057228185
1,3.968,5.968,0.32432356459268447,0.29940885875474454,0.37626757665255806,0.7957338801775248,1.1601610790295016,7718.299657083517,0.36070943769867936,0.32652611887188543,0.3127644434294317,1.0440001276729367,0.8670813977722928,28154.505752150508,0.4097299503618743,0.369518795023948,0.22075125461417233,1.673914812714346,0.5387725608518527,18955.819404510763,0.4303880737361831,0.3412386350504904,0.22837329121331965,1.494214289409767,0.5306217926319747,14620.870899618085
1,4.464,6.464,0.2781133256498472,0.3874305564112718,0.3344561179388714,1.1583898025213322,1.2025893299336181,10392.33376078829,0.41142417460962477,0.350827554450416,0.23774827093995546,1.4756261026142812,0.5778665562507068,27481.150403484575,0.39313438122733924,0.3870400474286084,0.21982557134404668,1.7606689024492328,0.5591614008873065,17167.595962243486,0.40473775931416783,0.3818982210877489,0.2133640195980769,1.7898904501665078,0.5271660839344987,15620.238801889016
