participant,window_start,window_end,motor_left_theta,motor_left_alpha,motor_left_beta,motor_left_alpha_beta_ratio,motor_left_beta_theta_ratio,motor_left_total_power,temporal_left_theta,temporal_left_alpha,temporal_left_beta,temporal_left_alpha_beta_ratio,temporal_left_beta_theta_ratio,temporal_left_total_power,motor_right_theta,motor_right_alpha,motor_right_beta,motor_right_alpha_beta_ratio,motor_right_beta_theta_ratio,motor_right_total_power,temporal_right_theta,temporal_right_alpha,temporal_right_beta,temporal_right_alpha_beta_ratio,temporal_right_beta_theta_ratio,temporal_right_total_power,rhythm_similarity
1,0.0,2.0,0.3338841478100869,0.3291708620083627,0.3369449901815416,0.9769276042092248,1.0091673785398974,11601.328945325466,0.405172176502053,0.2572708468565551,0.3375569766413895,0.7621553238695767,0.8331198345246624,44724.03355795952,0.5275524594947788,0.2674987225708234,0.2049488179343941,1.3051976843137845,0.3884899297610443,27495.712386004878,0.5457286949436649,0.2539921388134894,0.2002791662428405,1.26819051416219,0.3669940175374381,18741.51496298786,0.02
1,0.496,2.496,0.4274231790774181,0.2584981089088535,0.3140787120137208,0.8230360703260736,0.7348190912145803,13221.676166106046,0.4134302890074599,0.2179933721989861,0.3685763387935517,0.5914470063719639,0.8915078275430838,46411.04675211134,0.5950443464703098,0.2128553618679524,0.1921002916617346,1.1080428875285695,0.3228335716509805,31472.53969109933,0.5686340200156029,0.2550941568338521,0.17627182315054,1.4471635470405777,0.3099916940349465,19946.91745902861,0.02
1,0.992,2.992,0.4617220258266802,0.2377204287244811,0.3005575454488295,0.7909314948971939,0.6509491179475291,11116.54089286836,0.3660342844504131,0.2751620800222216,0.3588036355273626,0.7668876588103455,0.9802459790510892,38658.1664503999,0.6474215832545845,0.1730317657375528,0.1795466510078585,0.9637148048502192,0.2773257111776803,23967.85073247827,0.6656353372693823,0.2111736342080399,0.1231910285225736,1.7141965347690642,0.1850728493891806,23432.19545995824,0.024
1,1.488,3.488,0.4850269716428767,0.2068923697241812,0.3080806586329326,0.6715526078210574,0.6351825293125455,10645.50415173314,0.2715783659510367,0.3396924745525798,0.3887291594963803,0.8738538549376315,1.4313701245498354,34692.995308929865,0.6678378441430588,0.183731187421179,0.1484309684357579,1.2378224662779445,0.2222560008204046,22932.850533521192,0.5614848210867617,0.2677638894353098,0.1707512894779215,1.5681514924660145,0.3041066883115878,14640.195038682066,0.02
1,1.984,3.984,0.5928568024853651,0.0957489895182745,0.3113942079963522,0.3074848120469652,0.5252435439568645,12264.081633830732,0.3189869468012671,0.314188662295583,0.3668243909031466,0.8565097362310785,1.1499667763260517,29999.894372554816,0.5180160036183374,0.2796464728751137,0.2023375235065422,1.382079151848781,0.3906009121208876,15166.156776141594,0.6134527033877069,0.2434162829042482,0.1431310137080385,1.700653664067264,0.233320373221303,15859.06115419943,0.02
1,2.48,4.48,0.5258962908860474,0.1675930209258816,0.3065106881880628,0.5467770860344312,0.5828348545140691,12101.421330927751,0.3280319392780591,0.2340211325593897,0.4379469281625477,0.5343595707846339,1.3350740453090866,28521.990446737847,0.5728777353990112,0.218914826857322,0.2082074377436614,1.0514265447463869,0.3634413154469031,18886.43661485602,0.6460639358965087,0.1904175951344537,0.1635184689690312,1.164502067167163,0.2530995152083883,15889.715970098974,0.024
1,2.976,4.976,0.5199262247435543,0.1885349924581503,0.2915387827982871,0.6466892351285918,0.5607310593768945,12133.06199509306,0.4486094572059061,0.1810337438741186,0.3703567989199716,0.4888090198480073,0.8255661867377428,27284.328956185956,0.5515538564610598,0.2708719837663255,0.1775741597726099,1.525402029851525,0.3219525304599976,21201.09400073716,0.6048105341300806,0.2242811740836427,0.1709082917862703,1.3122896012799057,0.2825815394106712,15813.41036913352,0.02
1,3.472,5.472,0.5081729740348278,0.1953212843939377,0.2965057415712242,0.6587436835418327,0.5834740466754873,9710.48705530106,0.417049406218195,0.2445522167328217,0.3383983770489792,0.7226755011813272,0.811410763337546,24324.118156357643,0.4745087062053742,0.3139300236548248,0.2115612701397952,1.4838728442468607,0.4458532949408645,17723.847050720036,0.6182180070129576,0.1776487042713727,0.2041332887156631,0.870258375736128,0.3301962841586762,15284.218057228183,0.02
1,3.968,5.968,0.3243235645926844,0.2994088587547445,0.376267576652558,0.7957338801775248,1.1601610790295016,7718.299657083517,0.3607094376986793,0.3265261188718854,0.3127644434294317,1.0440001276729367,0.8670813977722928,28154.505752150508,0.4097299503618743,0.369518795023948,0.2207512546141723,1.673914812714346,0.5387725608518527,18955.819404510763,0.4303880737361831,0.3412386350504904,0.2283732912133196,1.494214289409767,0.5306217926319747,14620.870899618085,0.024
1,4.464,6.464,0.2781133256498472,0.3874305564112718,0.3344561179388714,1.1583898025213322,1.202589329933618,10392.33376078829,0.4114241746096247,0.350827554450416,0.2377482709399554,1.4756261026142812,0.5778665562507068,27481.15040348457,0.3931343812273392,0.3870400474286084,0.2198255713440466,1.7606689024492328,0.5591614008873065,17167.595962243486,0.4047377593141678,0.3818982210877489,0.2133640195980769,1.7898904501665078,0.5271660839344987,15620.238801889016,0.02
